Set	Total
{disinfecting agents and antiseptics;macrolide ;tetracycline, drug_and_biocide_resistance, multidrug}	2
{amphenicol, lincosamide ;oxazolidinone ;phenicol ;pleuromutilin ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug}	1
{colistin, lipopeptide, peptide, polypeptide}	1
{beta-lactam, drug_and_biocide_and_metal_resistance, multidrug}	2
{quaternary ammonium, quinolone}	7
{quinolone, rifampin}	2
{multidrug, pleuromutilin}	4
{aminocoumarin ;aminoglycoside ;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;penicillin beta-lactam;phenicol ;tetracycline, drug_and_biocide_resistance, multidrug}	2
{aminoglycoside, fluoroquinolone, quinolone}	2
{beta-lactam, carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;monobactam;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, multidrug}	1
{MLS, lincosamide, multidrug, pleuromutilin ;streptogramin a ;streptogramin, streptogramin a, streptogramin b}	1
{beta-lactam, puromycin}	1
{lincosamide ;oxazolidinone ;phenicol ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{disinfecting agents and antiseptic, multidrug, qa_compound, quaternary ammonium}	1
{diaminopyrimidine ;fluoroquinolone ;phenicol, drug_and_biocide_resistance, multidrug}	2
{lipopeptide, peptide}	3
{MLS, lincosamide ;macrolide, macrolide, multidrug}	1
{amphenicol, glycopeptide ;lincosamide ;oxazolidinone ;phenicol ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug}	1
{fosfomycin, multidrug, phosphonic acid}	1
{fluoroquinolone ;nitroimidazole ;tetracycline, multidrug}	1
{macrolide, tetracycline, multidrug}	1
{lincosamide ;nucleoside ;streptogramin a ;streptogramin, lincosamide/pleuromutilin/streptogramin}	1
{aminoglycoside, diaminopyrimidine, trimethoprim}	1
{cephalosporin;fluoroquinolone ;penicillin beta-lactam, drug_and_biocide_resistance, efflux, multidrug}	1
{ethambutol, mycobacterium_tuberculosis-specific_drug}	3
{tetracenomycin, tetracycline}	9
{carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol, drug_and_biocide_and_metal_resistance, multidrug}	1
{MLS, lincosamide ;macrolide, macrolide, ml, multidrug}	2
{lincosamide/streptogramin, ml, multidrug}	2
{lincosamide ;oxazolidinone ;phenicol ;pleuromutilin ;streptogramin a ;streptogramin b ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{fosmidomycin, multidrug}	7
{mupirocin, pseudomonic acid}	3
{lincosamide ;pleuromutilin ;streptogramin, lincosamide, streptogramin a, pleuromutilin, lincosamide/streptogramin, multidrug}	1
{cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;moenomycin ;penicillin beta-lactam;peptide ;tetracycline, multidrug}	1
{diaminopyrimidine ;fluoroquinolone ;phenicol, drug_and_biocide_resistance, efflux, multidrug}	1
{drug_and_biocide_resistance, fluoroquinolone, quaternary ammonium, quinolone}	1
{aminoglycoside ;phenicol ;tetracycline, multidrug}	2
{drug_and_biocide_resistance, multidrug, phosphonic acid}	1
{lipopeptide/rifamycin, rifampin, rifamycin}	1
{disinfecting agents and antiseptic, quaternary ammonium, quinolone}	5
{aminocoumarin, quinolone}	2
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin b ;streptogramin, lincosamide, streptogramin a, lincosamide/streptogramin, ml, multidrug}	1
{bicyclomycin-like, multidrug}	1
{disinfecting agents and antiseptic, na}	1
{MLS, macrolide, streptogramin b, macrolide/streptogramin, ml, multidrug}	1
{beta-lactam, mycobacterium_tuberculosis-specific_drug, rifampin}	1
{multidrug, rifampin}	1
{colistin, polymyxin}	8
{carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol, drug_and_biocide_and_metal_resistance, efflux, multidrug}	2
{beta-lactam, fluoroquinolone}	4
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide, streptogramin a, pleuromutilin, lincosamide/pleuromutilin/streptogramin, multidrug}	1
{MLS, lincosamide/streptogramin, ml}	1
{colistin, glycopeptide, peptide}	3
{aminocoumarin ;aminoglycoside, drug_and_biocide_resistance, multidrug}	1
{colistin, glycopeptide, na, polymyxin}	1
{bacitracin, mycobacterium_tuberculosis-specific_drug}	4
{disinfecting agents and antiseptics;fluoroquinolone ;lincosamide ;nucleoside ;phenicol, drug_and_biocide_resistance, efflux, multidrug}	1
{lincosamide ;oxazolidinone ;phenicol ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{cationic_antimicrobial_peptide, glycopeptide, peptide}	4
{fosfomycin, lincosamide, multidrug}	1
{disinfecting agents and antiseptics;fluoroquinolone, drug_and_biocide_resistance, efflux, multidrug}	1
{beta-lactam, drug_and_biocide_resistance}	1
{multidrug, peptide}	1
{isoniazid, isoniazid/triclosan}	1
{disinfecting agents and antiseptic, multidrug, na}	1
{bacitracin, peptide}	1
{intimin, not found}	3
{beta-lactam, mycobacterium_tuberculosis-specific_drug}	3
{beta-lactam, multidrug, tetracycline}	1
{MLS, quinolone}	1
{disinfecting agents and antiseptics;fluoroquinolone ;nucleoside ;phenicol, drug_and_biocide_resistance, multidrug}	1
{MLS, avilamycin, lincosamide ;macrolide ;orthosomycin, ml, multidrug}	1
{fosfomycin, multidrug}	4
{multidrug, nucleoside, streptothricin}	1
{fusidane, fusidic acid, fusidic_acid, steroid antibacterial}	2
{bleomycin, fosfomycin, glycopeptide, polypeptide}	1
{aminoglycoside, fosmidomycin}	1
{isoniazid, mycobacterium_tuberculosis-specific_drug}	4
{diaminopyrimidine, sulfonamide, trimethoprim}	1
{lincosamide ;pleuromutilin ;streptogramin, lincosamide, streptogramin a, lincosamide/streptogramin, multidrug}	1
{colistin, glycopeptide, peptide, polymyxin}	1
{bacitracin, nitroimidazole}	1
{aminocoumarin ;aminoglycoside ;carbapenem;cephalosporin;diaminopyrimidine ;disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, multidrug}	1
{MLS, lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide, streptogramin a, pleuromutilin, lincosamide/pleuromutilin/streptogramin, multidrug}	1
{MLS, lincosamide ;macrolide, macrolide, ml}	1
{aminocoumarin ;carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, multidrug}	1
{glycopeptide, mycobacterium_tuberculosis-specific_drug}	1
{lipopeptide, multidrug, rifamycin}	1
{disinfecting agents and antiseptic, multidrug, triclosan}	1
{aminoglycoside, fluoride}	1
{lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, ml, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{aminocoumarin, bacitracin, quinolone}	1
{aminocoumarin ;aminoglycoside ;carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, beta-lactam, drug_and_biocide_resistance, multidrug}	1
{aminoglycoside ;cephalosporin;fluoroquinolone ;macrolide, drug_and_biocide_resistance, multidrug}	3
{aminoglycoside ;fluoroquinolone, multidrug}	1
{fluoroquinolone, not found}	1
{beta-lactam, carbapenem;cephalosporin;monobactam;penicillin beta-lactam, multidrug}	1
{na, thiopeptide, thiostrepton}	1
{cationic_antimicrobial_peptide, colistin, glycopeptide, peptide, polymyxin}	1
{aminoglycoside, fluoroquinolone}	2
{multidrug, triclosan}	1
{aminoglycoside ;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;penicillin beta-lactam;phenicol ;tetracycline, drug_and_biocide_resistance, multidrug}	1
{multidrug, oxazolidinone ;phenicol, oxazolidinone/phenicol}	1
{antibacterial free fatty acid, drug_and_biocide_resistance, efflux}	1
{cationic_antimicrobial_peptide, peptide, polymyxin, polypeptide}	1
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide/pleuromutilin, multidrug}	1
{chloramphenicol, fluoroquinolone, quinolone}	1
{aminoglycoside ;fluoroquinolone, drug_and_biocide_resistance, multidrug}	2
{cationic_antimicrobial_peptide, colistin, glycopeptide, peptide}	1
{fosfomycin, na, phosphonic acid}	1
{amphenicol, chloramphenicol, multidrug, phenicol}	1
{disinfecting agents and antiseptics;fluoroquinolone ;tetracycline, drug_and_biocide_resistance, multidrug}	2
{beta-lactam, peptide}	2
{aminoglycoside ;carbapenem;cephalosporin;fluoroquinolone ;macrolide ;penicillin beta-lactam;peptide, drug_and_biocide_resistance}	1
{aminoglycoside, rifampin, rifamycin}	1
{MLS, drug_and_biocide_and_metal_resistance, multidrug}	1
{aminoglycoside ;macrolide, drug_and_biocide_resistance, multidrug}	1
{aminoglycoside ;fluoroquinolone, aminoglycoside/quinolone}	1
{beta-lactam, rifampin}	1
{aminocoumarin ;carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, drug_and_biocide_resistance, efflux, multidrug}	1
{bacitracin, multidrug, qa_compound}	1
{lincosamide, streptogramin a, lincosamide/streptogramin, ml, multidrug}	1
{lincosamide/macrolide, ml}	2
{MLS, lipopeptide}	1
{multidrug, nitrofuran}	1
{fusidic acid, fusidic_acid, steroid antibacterial}	1
{lincosamide/pleuromutilin/streptogramin, without defined classification;lincosamide ;pleuromutilin}	1
{drug_and_biocide_resistance, multidrug, na}	2
